Range    : 0.200

Accuracy : 0.003

Control file  : gr32new

Spectrum file : 9md

Searching 1 1 0 near 2648.69151
7 3 4 2617.49228 98.8 3075.37195
9 3 6 2388.8835 100.1 3075.37221

8 3 6 2559.8038 66.7 3075.10107
9 3 6 2388.61239 85.9 3075.10109

Searching 8 2 7 near 3075.17819

7 2 6 2712.62575 81.1 3074.97857
8 0 8 2695.5685 99.9 3074.976

7 2 6 2712.74902 94.9 3075.10185
8 2 6 2559.81149 85.7 3075.10024
9 2 8 2523.08701 94.2 3075.10106
7 4 4 2616.43255 99.4 3075.10128
8 4 4 2466.53732 96.3 3075.10267
9 4 6 2388.57139 95.2 3075.10088
8 0 8 2695.6935 43.4 3075.101

7 2 6 2712.81015 97.9 3075.16298
8 0 8 2695.75533 99.7 3075.16283

7 2 6 2712.90086 95.6 3075.25369
9 4 6 2388.72539 100.1 3075.25487

8 2 6 2559.81149 85.7 3075.10024
9 2 8 2523.08701 94.2 3075.10106
7 4 4 2616.43255 99.4 3075.10128
8 4 4 2466.53732 96.3 3075.10267
9 4 6 2388.57139 95.2 3075.10088
8 0 8 2695.6935 43.4 3075.101

8 2 6 2559.90432 41.9 3075.19307
9 4 6 2388.66112 100.0 3075.19061

8 2 6 2560.04894 99.5 3075.33769
9 2 8 2523.32548 99.9 3075.33953

8 2 6 2560.12623 100.1 3075.41499
8 4 4 2466.85234 100.1 3075.41769

9 2 8 2522.97465 93.1 3074.9887
7 4 4 2616.32034 100.0 3074.98907
9 4 6 2388.45781 10.6 3074.98729

9 2 8 2522.98336 82.4 3074.99741
8 0 8 2695.58859 90.4 3074.99608

9 2 8 2523.08701 94.2 3075.10106
7 4 4 2616.43255 99.4 3075.10128
8 4 4 2466.53732 96.3 3075.10267
9 4 6 2388.57139 95.2 3075.10088
8 0 8 2695.6935 43.4 3075.101

7 4 4 2616.32034 100.0 3074.98907
9 4 6 2388.45781 10.6 3074.98729

7 4 4 2616.43255 99.4 3075.10128
8 4 4 2466.53732 96.3 3075.10267
9 4 6 2388.57139 95.2 3075.10088
8 0 8 2695.6935 43.4 3075.101

7 4 4 2616.51957 98.5 3075.18831
8 4 4 2466.62277 98.1 3075.18812
9 4 6 2388.66112 100.0 3075.19061

8 4 4 2466.53732 96.3 3075.10267
9 4 6 2388.57139 95.2 3075.10088
8 0 8 2695.6935 43.4 3075.101

8 4 4 2466.62277 98.1 3075.18812
9 4 6 2388.66112 100.0 3075.19061

9 4 6 2388.57139 95.2 3075.10088
8 0 8 2695.6935 43.4 3075.101

Searching 9 1 8 near 3173.58425

8 1 7 2720.90625 97.0 3173.4007
9 1 9 2704.15472 49.5 3173.40108
10 1 9 2512.50421 96.9 3173.40107
9 3 7 2548.98755 66.4 3173.40221
10 3 7 2358.94442 96.5 3173.40151

8 1 7 2721.03062 99.2 3173.52508
10 1 9 2512.6278 74.7 3173.52466

8 1 7 2721.09104 3.2 3173.5855
10 1 9 2512.68972 55.8 3173.58657

9 1 9 2704.1384 87.4 3173.38476
8 3 5 2605.6903 98.6 3173.38715

9 1 9 2704.15472 49.5 3173.40108
