J,V,J1,J2,J3,Value
25,1,25,1,25,5752.565938
25,1,25,3,23,6165.015158
25,1,25,5,21,6527.911384
25,1,25,7,19,6845.907231
25,1,25,9,17,7121.56935
25,1,25,11,15,7355.759348
25,1,25,13,13,7547.117125
25,1,25,15,11,7681.386986
25,1,25,17,9,7748.970404
25,1,25,19,7,7856.107655
25,1,25,21,5,7973.627945
25,1,25,23,3,8093.729937
25,1,25,25,1,8230.075815
25,1,25,1,24,5965.370178
25,1,25,3,22,6352.311868
25,1,25,5,20,6692.318363
25,1,25,7,18,6988.938166
25,1,25,9,16,7243.860612
25,1,25,11,14,7457.043408
25,1,25,13,12,7624.072995
25,1,25,15,10,7715.709086
25,1,25,17,8,7798.295488
25,1,25,19,6,7911.61663
25,1,25,21,4,8005.56338
25,1,25,23,2,8098.055677
25,1,25,25,0,8230.199154
25,1,25,2,24,5965.370178
25,1,25,4,22,6352.311868
25,1,25,6,20,6692.318363
25,1,25,8,18,6988.938166
25,1,25,10,16,7243.860715
25,1,25,12,14,7457.060461
25,1,25,14,12,7625.68734
25,1,25,16,10,7748.470295
25,1,25,18,8,7857.425175
25,1,25,20,6,7973.618689
25,1,25,22,4,8093.720422
25,1,25,24,2,8230.075545
